wordform,lemma,pos_tag
ich,ich,PRON
bin,sein,AUX
Ḥabīb,Ḥabīb,PROPN
Fransīs,Fransīs,PROPN
aus,aus,ADP
Maʕlūla,Maʕlūla,PROPN
und,und,CCONJ
will,wollen,AUX
erzählen,erzählen,VERB
wie,wie,ADP
man,man,PRON
Rosinen,Rosine,NOUN
macht,machen,VERB
daraus,daraus,ADV
Traubenhonig,Traubenhonig,NOUN
wir,wir,PRON
betrachten,betrachten,VERB
hier,hier,ADV
im,in,ADP
Dorf,Dorf,NOUN
die,der,DET
Weintrauben,Weintraube,NOUN
als,als,ADP
Haupteinnahmequelle,Haupteinnahmequelle,NOUN
für,für,ADP
das,der,DET
wenn,wenn,SCONJ
es,es,PRON
dann,dann,ADV
September,September,NOUN
wird,werden,AUX
werden,werden,AUX
Trauben,Traube,NOUN
richtig,richtig,ADJ
reif,reif,ADJ
geht,gehen,VERB
zu,zu,ADP
dem,der,DET
Ausbreiten,ausbreiten,VERB
der,der,DET
also,also,ADV
einen,ein,DET
Tag,Tag,NOUN
vor,vor,ADP
Zeit,Zeit,NOUN
des,der,DET
Ausbreitens,Ausbreiten,NOUN
Essen,Essen,NOUN
zurecht,zurecht,ADV
Proviant,Proviant,NOUN
reine,rein,ADJ
Holz,Holz,NOUN
asche,asche,NOUN
eben,eben,ADV
Asche,Asche,NOUN
schafft,schaffen,VERB
alles,alle,DET
in,in,ADP
Weinberge,Weinberg,NOUN
am,an,ADP
nächsten,nah,ADJ
vom,vom,ADP
Morgen,Morgen,NOUN
an,an,ADP
pflücken,pflücken,VERB
sammelt,sammeln,VERB
sie,sie,PRON
Haufen,Hauf,NOUN
gesammelt,sammeln,VERB
habt,haben,VERB
ebnet,ebnen,VERB
ein,ein,DET
Stück,Stück,NOUN
Erde,Erde,NOUN
muß,müssen,AUX
Öl,Öl,NOUN
Sonne,Sonne,NOUN
gestellt,stellen,VERB
haben,haben,VERB
Aschewasser,Aschewasser,NOUN
taucht,tauchen,VERB
dieses,dieser,DET
Wasser,Wasser,NOUN
legt,legen,VERB
einzeln,einzeln,ADJ
so,so,ADV
auf,auf,ADP
sieben,sieben,NUM
acht,acht,NUM
Tage,Tag,NOUN
lang,lang,ADJ
damit,damit,ADV
eintrocknen,eintrocknen,VERB
nachdem,nachdem,SCONJ
getrocknet,trocknen,VERB
bringt,bringen,VERB
nach,nach,ADP
Hause,Haus,NOUN
gebracht,bringen,VERB
hat,haben,VERB
zur,zur,ADP
Presse,Presse,NOUN
um,um,ADP
ihnen,sie,PRON
machen,machen,VERB
gibt,geben,VERB
den,der,DET
unteren,unter,ADJ
Mahlstein,Mahlstein,NOUN
oberen,ober,ADJ
bindet,binden,VERB
Maultier,Maultier,NOUN
dreht,drehen,VERB
solange,solange,ADV
bis,bis,ADP
weich,weich,ADJ
Sauerteig,Sauerteig,NOUN
geworden,werden,VERB
sind,sein,AUX
kleinen,klein,ADJ
Raum,Raum,NOUN
anderen,anderer,DET
schüttet,schütten,VERB
übereinander,übereinander,ADV
jeder,jeder,DET
einzelne,einzeln,ADJ
schreibt,schreiben,VERB
seinen,sein,DET
Namen,Name,NOUN
darauf,darauf,ADV
d.,d.,X
h.,h.,X
mit,mit,ADP
Finger,Finger,NOUN
jeden,jeder,DET
weichen,weichen,VERB
Rosinenmasse,Rosinenmasse,NOUN
fünf,fünf,NUM
sechs,sechs,NUM
Tagen,Tag,NOUN
Beil,Beil,NOUN
zerhackt,zerhacken,VERB
Rosinenhaufen,Rosinenhaufen,NOUN
oder,oder,CCONJ
zersägt,zersägen,VERB
lauter,laut,ADJ
Stücken,Stück,NOUN
trägt,tragen,VERB
Körben,Körbe,NOUN
Tropfkrüge,Tropfkrug,NOUN
darüber,darüber,ADV
Boden,Boden,NOUN
Tropfkruges,Tropfkrug,NOUN
Reisig,Reisig,NOUN
sein,sein,DET
ist,sein,AUX
durchlöchert,durchlöchern,VERB
sickert,sickern,VERB
durch,durch,ADP
dabei,dabei,ADV
Saft,Saft,NOUN
gelangt,gelangen,VERB
Tropfen,Tropfen,NOUN
anderes,anderer,DET
Gefäß,Gefäß,NOUN
kein,kein,DET
mehr,mehr,ADV
zurückbleibt,zurückbleiben,VERB
kippt,kippen,VERB
ihn,er,PRON
Tropfkrug,Tropfkrug,NOUN
dritten,dritt,ADJ
genauso,genauso,ADV
danach,danach,ADV
nimmt,nehmen,VERB
diesen,dieser,DET
letzten,letzt,ADJ
Mal,Mal,NOUN
durchgelaufen,durchlaufen,VERB
ersten,erst,ADJ
Tages,Tag,NOUN
kocht,kochen,VERB
er,er,PRON
nennt,nennen,VERB
ḥalyṯa,ḥalyṯa,PROPN
Süße,Süße,NOUN
zweiten,zweit,ADJ
ṯanwṯa,ṯanwṯa,PROPN
Zweite,zweit,ADJ
čaməzṯa,čaməzṯa,PROPN
Kessel,Kessel,NOUN
herauskommt,herauskommen,VERB
Kanistern,Kanister,NOUN
läßt,lassen,VERB
holt,holten,VERB
Feigenholzstock,Feigenholzstock,NOUN
sich,sich,PRON
über,über,ADP
her,her,ADV
immer,immer,ADV
weiter,weiter,ADV
kräftig,kräftig,ADJ
schlagen,schlagen,VERB
fest,fest,ADV
fertig,fertig,ADJ
mehrere,mehr,DET
Gerichte,Gericht,NOUN
Süßigkeiten,Süßigkeit,NOUN
gekochte,gekocht,ADJ
ṣwīḳa,ṣwīḳa,PROPN
heißes,heiß,ADJ
Süßgetränk,Süßgetränk,NOUN
Anis,Anis,NOUN
Nüssen,Nuß,NOUN
was,was,PRON
noch,noch,ADV
betrifft,betreffen,VERB
besteht,bestehen,VERB
Es,es,PRON
nur,nur,ADV
diese,dieser,DET
eine,ein,DET
Kloster,Kloster,NOUN
gehört,gehören,VERB
bestehend,bestehend,VERB
einem,ein,DET
großen,groß,ADJ
Gebäude,Gebäude,NOUN
Brennholz,Brennholz,NOUN
dort,dort,ADV
sammeln,sammeln,VERB
mahlen,mahlen,VERB
gemahlenen,gemahlen,NOUN
Rosinenmassen,Rosinenmasse,NOUN
aufgereiht,aufreihen,VERB
durchzuseihen,durchseihen,VERB
aufgestellt,aufstellen,VERB
entfacht,entfechen,VERB
Feuer,Feuer,NOUN
unter,unter,ADP
ihm,er,PRON
kochen,kochen,VERB
ganze,ganz,ADJ
Geschichte,Geschichte,NOUN
Die,der,DET
Ende,Ende,NOUN
Monat,Monat,NOUN
Juli,Juli,NOUN
oh,oh,INTJ
Leben,Leben,NOUN
Aprikosen,Aprikose,NOUN
holen,holen,VERB
Korb,Korb,NOUN
herab,herab,ADV
gehen,gehen,VERB
hinunter,hinunter,ADV
bewässerten,bewässern,VERB
Gärten,Garten,NOUN
laden,laden,VERB
Esel,Esel,NOUN
bringen,bringen,VERB
kommen,kommen,VERB
waschen,waschen,VERB
geben,geben,VERB
Sieb,Sieb,NOUN
abtropfen,abtrepfen,VERB
lassen,lassen,VERB
nicht,nicht,PART
sauer,sau,ADJ
sobald,sobald,SCONJ
abgetropft,abtropfen,VERB
halbieren,halbieren,VERB
entfernen,entfernen,VERB
ihre,ihr,DET
Kerne,Kerne,NOUN
Zucker,Zucker,NOUN
halbiert,halbieren,VERB
stellen,stellen,VERB
etwa,etwa,ADV
halbe,halb,NOUN
Stunde,Stunde,NOUN
denn,denn,SCONJ
soll,sollen,AUX
geschmolzen,schmelzen,VERB
zerquetschen,zerquetschen,VERB
drücken,drücken,VERB
Seiher,Seiher,NOUN
gemächlich,gemächlich,ADJ
Schalen,Schale,NOUN
von,von,ADP
ihren,ihr,DET
Schmutz,Schmutz,NOUN
Feuerstelle,Feuerstelle,NOUN
beginnen,beginnen,VERB
verfeuern,verfeuern,VERB
zweimal,zweimal,ADV
bißchen,bisschen,ADV
Schaum,Schaum,NOUN
unbrauchbar,unbrauchbar,ADJ
schaffen,schaffen,VERB
hinauf,hinauf,ADV
Dächer,Dach,NOUN
Bleche,Blech,NOUN
Tabletts,Tablett,NOUN
leeren,leer,ADJ
Marmelade,Marmelade,NOUN
drei,drei,NUM
vier,vier,NUM
müssen,müssen,AUX
wieder,wieder,ADV
Dach,Dach,NOUN
hinaufsteigen,hinaufsteigen,VERB
herunterkommen,herunterkommen,VERB
rühren,rühren,VERB
füllen,füllen,VERB
große,groß,ADJ
Einmachgläser,Einmachgläser,NOUN
nehmen,nehmen,VERB
Einmachglas,Einmachglas,NOUN
binden,binden,VERB
weißes,weiß,NOUN
Tuch,Tuch,NOUN
Woche,Woche,NOUN
gut,gut,ADJ
herunter,herunter,ADV
bewahren,bewahren,VERB
Winter,Winter,NOUN
heraus,heraus,ADV
Teller,Teller,NOUN
essen,essen,VERB
Schafe,Schaf,NOUN
melken,melken,VERB
gemolken,molken,VERB
seihen,seihen,VERB
Milch,Milch,NOUN
durchgeseiht,durchseihen,VERB
Kasein,Kasein,NOUN
Tabletten,Tablett,NOUN
abendländische,abendländisch,NOUN
beispielsweise,beispielsweise,ADV
je,je,ADV
Menge,Menge,NOUN
soviel,soviel,DET
dazu,dazu,ADV
viel,viel,DET
wenig,wenig,DET
Maß,Maß,NOUN
hinzu,hinzu,ADV
deckt,decken,VERB
geduldet,bulden,VERB
zwei,zwei,NUM
Stunden,Stunde|Stunden,NOUN
findet,finden,VERB
dick,dick,ADJ
geronnene,geronnen,NOUN
einzige,einzig,ADJ
Form,Form,NOUN
setzen,setzen,VERB
